timestamp,bid1_price,bid1_qty,bid2_price,bid2_qty,bid3_price,bid3_qty,bid4_price,bid4_qty,bid5_price,bid5_qty,ask1_price,ask1_qty,ask2_price,ask2_qty,ask3_price,ask3_qty,ask4_price,ask4_qty,ask5_price,ask5_qty,spread,midprice,total_buy_qty,total_sell_qty
2026-06-12T04:19:56.003,55903.2,90,55896,90,55892.2,120,55892,150,55891.8,30,55920,150,55925,30,55929.8,120,55930,270,55931,120,16.80000000000291,55911.6,480,690
2026-06-12T04:19:57.112,55903.2,90,55896,90,55892.2,120,55892,150,55891.8,30,55920,150,55925,30,55929.8,120,55930,270,55931,120,16.80000000000291,55911.6,480,690
2026-06-12T04:19:58.223,55903.2,90,55896.2,90,55892.2,120,55892,150,55891.8,90,55920,150,55925,30,55929.8,120,55930,270,55931,120,16.80000000000291,55911.6,540,690
2026-06-12T04:19:59.330,55915,150,55903.2,90,55896,120,55895.8,90,55895.6,120,55920,150,55925,30,55930,270,55931.2,150,55931.8,60,5,55917.5,570,660
2026-06-12T04:20:00.441,55915,150,55903.2,90,55896,120,55895.8,90,55895.6,120,55920,150,55925,30,55930,270,55931.2,150,55931.8,60,5,55917.5,570,660
2026-06-12T04:20:01.557,55915,210,55894.2,90,55894,30,55892.2,120,55892,150,55920,90,55925,30,55930,390,55931.2,150,55931.6,120,5,55917.5,600,780
2026-06-12T04:20:02.663,55902,30,55893.4,90,55892,30,55889.8,120,55889.6,30,55920,90,55924.8,120,55925,30,55926.6,120,55926.8,150,18,55911.0,300,510
2026-06-12T04:20:03.769,55903,60,55902,30,55893,210,55892.2,120,55892,30,55920,90,55925,30,55928.6,120,55928.8,150,55929.2,120,17,55911.5,450,510
2026-06-12T04:20:04.899,55903,60,55902,30,55893.8,90,55892.2,120,55892,30,55920,90,55925,30,55928.6,120,55928.8,150,55929.4,120,17,55911.5,330,510
2026-06-12T04:20:06.031,55903,60,55902,30,55893,210,55892.2,120,55892,30,55920,90,55925,30,55928.6,120,55928.8,150,55929.2,120,17,55911.5,450,510
2026-06-12T04:20:07.149,55903,120,55902,30,55894,120,55893.8,90,55892.2,120,55920,90,55925,30,55928.6,120,55928.8,150,55929.4,120,17,55911.5,480,510
2026-06-12T04:20:08.283,55903,120,55902,30,55894,120,55893.8,90,55892.2,120,55920,90,55925,30,55928.6,120,55928.8,150,55929.4,120,17,55911.5,480,510
2026-06-12T04:20:09.649,55903,120,55902,30,55893.8,90,55892.2,120,55892,30,55920,90,55925,180,55928.6,120,55928.8,150,55929.8,120,17,55911.5,390,660
2026-06-12T04:20:10.763,55903,120,55902,30,55892.8,120,55892.6,90,55892.2,120,55919.8,30,55920,60,55925,180,55928.6,120,55928.8,150,16.80000000000291,55911.4,480,540
2026-06-12T04:20:11.874,55919.8,30,55903,60,55902,30,55893.8,210,55893.4,120,55920,60,55925,180,55928.6,120,55928.8,150,55929.8,120,0.19999999999708962,55919.9,450,630
2026-06-12T04:20:12.975,55919.8,30,55903,60,55902,30,55894.6,30,55893.6,120,55925,90,55928.8,150,55929.8,120,55930,420,55930.2,120,5.19999999999709,55922.4,270,900
2026-06-12T04:20:14.089,55903,60,55902,30,55893.8,90,55892.2,120,55892,30,55920,90,55925,30,55928.6,120,55928.8,150,55929.4,120,17,55911.5,330,510
2026-06-12T04:20:15.195,55903,30,55902,30,55892,30,55888.6,60,55888,90,55922.2,30,55923,240,55923.6,120,55923.8,240,55924,120,19.19999999999709,55912.6,240,750
2026-06-12T04:20:16.310,55919.8,90,55902,30,55892,30,55890.4,30,55889.4,90,55925,90,55925.2,30,55925.8,120,55926.2,30,55926.6,210,5.19999999999709,55922.4,270,480
