,spread,obi_l1,depth_obi,weighted_obi,buy_sell_ratio,obi_change,depth_obi_change,weighted_obi_change,spread_change,mid_return,mid_return_3s,mid_return_5s,mid_return_10s,obi_change_3s,obi_change_5s,obi_change_10s,obi_ma_5,obi_ma_10,weighted_obi_ma_5,weighted_obi_ma_10,depth_obi_acceleration,weighted_obi_acceleration
DOWN(-1),-0.008560064670459284,-0.1944571386956804,-0.4773336730610834,0.4913892221710067,0.004349340643690852,0.08326002334812783,0.414543106009684,-0.49879793493534463,-0.012832376822327952,0.008137112528919768,0.011864270443181394,-0.0005222670827086548,-0.006754815798251558,-0.0026706491242063503,-0.02904889828568692,0.013214081404254539,-0.028546326012712172,0.1083311302018521,0.025714619262575948,0.1320513952115204,-0.11888275700509454,0.14510817188044925
NEUTRAL(0),0.004780638806536365,0.04504955981927919,0.6595906828747504,-1.015427438737567,0.018515678277118135,-0.03591458131366781,-0.7183047036860035,0.8763607317650535,0.0060376289602091975,0.00143669401003362,-0.001365687241792496,-0.001561548339405191,-0.0015013137438879493,0.031151270531931393,-0.024590017787191304,0.010910701118102793,0.2094566951762245,-0.10419914418753029,-0.03445387499718563,0.0066994587790416725,0.3139060562346489,-0.36769872561145206
UP(+1),0.0037794258638135436,0.14940757887647804,-0.18225700981313103,0.5240382165666303,-0.022865018920827866,-0.047345442034512235,0.3037615976767348,-0.37756279683016175,0.006794747862118657,-0.009573806538955494,-0.010498583201382545,0.00208381542213978,0.008256129542115362,-0.028480621407732474,0.05363891607286984,-0.02412478252235108,-0.18091036916355763,-0.004131986014287075,0.008739255734651522,-0.13875085399042558,-0.1950232992297264,0.22259055373118333
